namapemda,pulau,tahun,jenis,level1,level2,Level2a,level3,level3a,nilai,Gubernur,WakilGubernur
Provinsi Jawa Barat,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,6.13667E+12,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.13525E+12,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.91599E+12,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,513. Belanja Subsidi,514. Belanja Subsidi,15054980,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Barat,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,6856332700,MOCHAMAD RIDWAN KAMIL,UU RUZHANUL ULUM
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,2.25334E+12,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,1.90819E+12,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,7548325000,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,1.97752E+12,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,3.12391E+12,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,6.11274E+11,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.55963E+12,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Tengah,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,5424543233,GANJAR PRANOWO,TAJ YASIN
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,2.70229E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,1.47743E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,44990102000,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,3.45177E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,512. Belanja Bunga,513. Belanja Bunga,6036025189,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,3.86545E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.05737E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,2.50561E+12,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Jawa Timur,Jawa,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,51032078403,KHOFIFAH INDAR PARAWANSA,EMIL ELESTIANTO DARDAK
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,4.47341E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,1.47082E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,665000000,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,7.87875E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,7.70671E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,3.5448E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,52. Belanja Langsung,51. Belanja Pegawai,521. Belanja Pegawai Langsung,511. Belanja Pegawai,97802602400,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,4.33188E+11,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Barat,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,4852394847,SUTARMIDJI,RIA NORSAN
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,2.13284E+12,ISRAN NOOR,HADI MULYADI
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,2.3549E+12,ISRAN NOOR,HADI MULYADI
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,7073500000,ISRAN NOOR,HADI MULYADI
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,2.22148E+12,ISRAN NOOR,HADI MULYADI
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,8.56807E+11,ISRAN NOOR,HADI MULYADI
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,2.49913E+12,ISRAN NOOR,HADI MULYADI
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.25896E+12,ISRAN NOOR,HADI MULYADI
Provinsi Kalimantan Timur,Kalimantan,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,8580824000,ISRAN NOOR,HADI MULYADI
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,4.72104E+11,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,2.12755E+11,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,7840000000,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,9.25182E+11,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,7.41235E+11,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,8.31951E+11,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,6.23319E+11,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Lampung,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,21612323000,ARINAL DJUNAIDI,CHUSNUNIA
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,81427724523,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,12543202791,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,10556956793,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,3.59287E+11,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,512. Belanja Bunga,513. Belanja Bunga,1834404686,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,3.11272E+11,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.81984E+11,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,3.97103E+11,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,1611266500,MURAD ISMAIL,BARNABAS ORNO
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,43144196873,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,739548954,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,30979063566,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,3.3855E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,1.69693E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,4.18588E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,2.52012E+11,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Maluku Utara,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,5954009937,AHMAD HIDAYAT MUS,RIVAI UMAR
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,1.95502E+11,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,72567931789,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,82354460000,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,3.66001E+11,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,5.49159E+11,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,4.04993E+11,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,5.10154E+11,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,513. Belanja Subsidi,514. Belanja Subsidi,241576000,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Barat,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,8208370250,ZULKIEFLIMANSYAH,SITTI ROHMI DJALILAH
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,1.3664E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,12888770000,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,64755930000,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,3.9248E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,7.98677E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,2.4475E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,5.13871E+11,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Nusa Tenggara Timur,Bali & Nusra,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,518. Belanja Tidak Terduga,531. Belanja Tidak Terduga,292350000,VIKTOR BUNGTILU LAISKODAT,JOSEF ADREANUS NAE SOI
Provinsi Papua,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,1.14401E+11,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,2.66461E+12,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,1.10611E+11,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,1.5408E+12,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,6.93636E+11,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.30918E+12,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Papua,Papua & Maluku,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,8.06432E+11,LUKAS ENEMBE,KLEMEN TINAL
Provinsi Riau,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,7.96727E+11,SYAMSUAR,EDY NASUTION
Provinsi Riau,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,1.78268E+11,SYAMSUAR,EDY NASUTION
Provinsi Riau,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,515. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,20053500000,SYAMSUAR,EDY NASUTION
Provinsi Riau,Sumatera,2012,Realisasi,5. Belanja,52. Belanja Langsung,52. Belanja Barang Jasa,522. Belanja Barang Jasa,512. Belanja Barang dan Jasa,1.21668E+12,SYAMSUAR,EDY NASUTION
Provinsi Riau,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,514. Belanja Hibah,515. Belanja Hibah,1.45957E+12,SYAMSUAR,EDY NASUTION
Provinsi Riau,Sumatera,2012,Realisasi,5. Belanja,52. Belanja Langsung,53. Belanja Modal,523. Belanja Modal,520. Belanja Modal,1.96167E+12,SYAMSUAR,EDY NASUTION
Provinsi Riau,Sumatera,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,51. Belanja Pegawai,511. Belanja Pegawai Tidak Langsung,511. Belanja Pegawai,1.0378E+12,SYAMSUAR,EDY NASUTION
Provinsi Sulawesi Selatan,Sulawesi,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,516. Belanja Bagi Hasil,541. Belanja Bagi Hasil,6.76636E+11,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
Provinsi Sulawesi Selatan,Sulawesi,2012,Realisasi,5. Belanja,51. Belanja Tidak Langsung,54. Belanja Lainnya,517. Belanja Bantuan Keuangan,542. Belanja Bantuan Keuangan,5.38874E+11,PROF. M. NURDIN ABDULLAH,ANDI SUDIRMAN SULAIMAN
